bacteria,bvbrc_id
Escherichia coli,511145.12
Klebsiella pneumoniae,1125630.4
Pseudomonas aeruginosa,287.5706
Ralstonia solanacearum,305.1006
Lactococcus lactis,1360.457
Staphylococcus aureus,93061.5
Salmonella sp.,1197719.3
Acinetobacter baumannii,470.9250
Streptococcus thermophilus,1308.1128
